"No.","Time","Source","Destination","Protocol","Length","Info"
"633","64.556258470","192.168.1.20","192.168.1.10","CIP","116","Success: 'FIT201:2' - Service (0x4c)"
"634","64.559317567","192.168.1.10","192.168.1.20","TCP","66","55208  >  44818 [FIN, ACK] Seq=97 Ack=79 Win=42496 Len=0 TSval=1450145572 TSecr=524513057"
"635","64.559793007","192.168.1.20","192.168.1.10","TCP","66","44818  >  55208 [FIN, ACK] Seq=79 Ack=98 Win=43520 Len=0 TSval=524513060 TSecr=1450145572"
"636","64.559817292","192.168.1.10","192.168.1.20","TCP","66","55208  >  44818 [ACK] Seq=98 Ack=80 Win=42496 Len=0 TSval=1450145572 TSecr=524513060"
"637","65.587776608","192.168.1.10","192.168.1.20","TCP","74","55214  >  44818 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM=1 TSval=1450146600 TSecr=0 WS=512"
"638","65.587795966","192.168.1.20","192.168.1.10","TCP","74","44818  >  55214 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM=1 TSval=524514088 TSecr=1450146600 WS=512"
"639","65.587806923","192.168.1.10","192.168.1.20","TCP","66","55214  >  44818 [ACK] Seq=1 Ack=1 Win=42496 Len=0 TSval=1450146600 TSecr=524514088"
"640","65.613961886","192.168.1.10","192.168.1.20","ENIP","94","Register Session (Req), Session: 0x00000000"
"641","65.613977033","192.168.1.20","192.168.1.10","TCP","66","44818  >  55214 [ACK] Seq=1 Ack=29 Win=43520 Len=0 TSval=524514115 TSecr=1450146627"
"642","65.617091332","192.168.1.20","192.168.1.10","ENIP","94","Register Session (Rsp), Session: 0xAA23474F"
"643","65.617118972","192.168.1.10","192.168.1.20","TCP","66","55214  >  44818 [ACK] Seq=29 Ack=29 Win=42496 Len=0 TSval=1450146630 TSecr=524514118"
"644","65.618280917","192.168.1.10","192.168.1.20","CIP CM","134","Unconnected Send: 'FIT201:2' - Service (0x4c)"
"645","65.630740442","192.168.1.20","192.168.1.10","CIP","116","Success: 'FIT201:2' - Service (0x4c)"
"646","65.633910471","192.168.1.10","192.168.1.20","TCP","66","55214  >  44818 [FIN, ACK] Seq=97 Ack=79 Win=42496 Len=0 TSval=1450146647 TSecr=524514131"
"647","65.634321202","192.168.1.20","192.168.1.10","TCP","66","44818  >  55214 [FIN, ACK] Seq=79 Ack=98 Win=43520 Len=0 TSval=524514135 TSecr=1450146647"
"648","65.634342878","192.168.1.10","192.168.1.20","TCP","66","55214  >  44818 [ACK] Seq=98 Ack=80 Win=42496 Len=0 TSval=1450146647 TSecr=524514135"
"649","67.005082960","192.168.1.10","192.168.1.20","TCP","74","55218  >  44818 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM=1 TSval=1450148018 TSecr=0 WS=512"
"650","67.005101489","192.168.1.20","192.168.1.10","TCP","74","44818  >  55218 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM=1 TSval=524515506 TSecr=1450148018 WS=512"
"651","67.005112745","192.168.1.10","192.168.1.20","TCP","66","55218  >  44818 [ACK] Seq=1 Ack=1 Win=42496 Len=0 TSval=1450148018 TSecr=524515506"
"652","67.032580247","192.168.1.10","192.168.1.20","ENIP","94","Register Session (Req), Session: 0x00000000"
"653","67.032593722","192.168.1.20","192.168.1.10","TCP","66","44818  >  55218 [ACK] Seq=1 Ack=29 Win=43520 Len=0 TSval=524515533 TSecr=1450148045"
"654","67.035779244","192.168.1.20","192.168.1.10","ENIP","94","Register Session (Rsp), Session: 0x3970D090"
"655","67.035810570","192.168.1.10","192.168.1.20","TCP","66","55218  >  44818 [ACK] Seq=29 Ack=29 Win=42496 Len=0 TSval=1450148048 TSecr=524515536"
"656","67.037085184","192.168.1.10","192.168.1.20","CIP CM","134","Unconnected Send: 'FIT201:2' - Service (0x4c)"
"657","67.050165351","192.168.1.20","192.168.1.10","CIP","116","Success: 'FIT201:2' - Service (0x4c)"
"658","67.053703505","192.168.1.10","192.168.1.20","TCP","66","55218  >  44818 [FIN, ACK] Seq=97 Ack=79 Win=42496 Len=0 TSval=1450148066 TSecr=524515551"
"659","67.054188787","192.168.1.20","192.168.1.10","TCP","66","44818  >  55218 [FIN, ACK] Seq=79 Ack=98 Win=43520 Len=0 TSval=524515555 TSecr=1450148066"
"660","67.054216949","192.168.1.10","192.168.1.20","TCP","66","55218  >  44818 [ACK] Seq=98 Ack=80 Win=42496 Len=0 TSval=1450148067 TSecr=524515555"
"661","68.105223167","192.168.1.10","192.168.1.20","TCP","74","37162  >  44818 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM=1 TSval=1450149118 TSecr=0 WS=512"
"662","68.105241559","192.168.1.20","192.168.1.10","TCP","74","44818  >  37162 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM=1 TSval=524516606 TSecr=1450149118 WS=512"
"663","68.105252391","192.168.1.10","192.168.1.20","TCP","66","37162  >  44818 [ACK] Seq=1 Ack=1 Win=42496 Len=0 TSval=1450149118 TSecr=524516606"
"664","68.132368930","192.168.1.10","192.168.1.20","ENIP","94","Register Session (Req), Session: 0x00000000"
"665","68.132384559","192.168.1.20","192.168.1.10","TCP","66","44818  >  37162 [ACK] Seq=1 Ack=29 Win=43520 Len=0 TSval=524516633 TSecr=1450149145"
"666","68.135516637","192.168.1.20","192.168.1.10","ENIP","94","Register Session (Rsp), Session: 0x5F4C6794"
