Interface,No.,Time,Source,Destination,Protocol,Length,Info
s1-eth2,111,2024-09-04 05:59:27.060,192.168.1.77,192.168.1.10,TCP,54,35012 → 80 0x0002
s1-eth2,112,2024-09-04 05:59:27.060,192.168.1.10,192.168.1.77,TCP,54,80 → 35012 0x0014
s1-eth1,106,2024-09-04 05:59:27.070,192.168.1.10,192.168.1.77,TCP,54,80 → 35671 0x0014
s1-eth1,107,2024-09-04 05:59:27.070,192.168.1.77,192.168.1.10,TCP,54,35672 → 80 0x0002
s1-eth1,108,2024-09-04 05:59:27.070,192.168.1.10,192.168.1.77,TCP,54,80 → 35672 0x0014
s1-eth1,109,2024-09-04 05:59:27.070,192.168.1.77,192.168.1.10,TCP,54,35673 → 80 0x0002
s1-eth3,120,2024-09-04 05:59:27.030,192.168.1.77,192.168.1.10,TCP,54,32494 → 80 0x0002
s1-eth3,121,2024-09-04 05:59:27.030,192.168.1.10,192.168.1.77,TCP,54,80 → 32494 0x0014
s1-eth3,122,2024-09-04 05:59:27.030,192.168.1.77,192.168.1.10,TCP,54,32495 → 80 0x0002
s1-eth2,113,2024-09-04 05:59:27.060,192.168.1.77,192.168.1.10,TCP,54,35013 → 80 0x0002
s1-eth2,114,2024-09-04 05:59:27.060,192.168.1.10,192.168.1.77,TCP,54,80 → 35013 0x0014
s1-eth2,115,2024-09-04 05:59:27.060,192.168.1.77,192.168.1.10,TCP,54,35014 → 80 0x0002
s1-eth2,116,2024-09-04 05:59:27.060,192.168.1.10,192.168.1.77,TCP,54,80 → 35014 0x0014
s1-eth1,110,2024-09-04 05:59:27.070,192.168.1.10,192.168.1.77,TCP,54,80 → 35673 0x0014
s1-eth1,111,2024-09-04 05:59:27.070,192.168.1.77,192.168.1.10,TCP,54,35674 → 80 0x0002
s1-eth1,112,2024-09-04 05:59:27.070,192.168.1.10,192.168.1.77,TCP,54,80 → 35674 0x0014
s1-eth3,123,2024-09-04 05:59:27.030,192.168.1.10,192.168.1.77,TCP,54,80 → 32495 0x0014
s1-eth3,124,2024-09-04 05:59:27.030,192.168.1.77,192.168.1.10,TCP,54,32496 → 80 0x0002
s1-eth3,125,2024-09-04 05:59:27.030,192.168.1.10,192.168.1.77,TCP,54,80 → 32496 0x0014
s1-eth2,117,2024-09-04 05:59:27.060,192.168.1.77,192.168.1.10,TCP,54,35015 → 80 0x0002
s1-eth2,118,2024-09-04 05:59:27.060,192.168.1.10,192.168.1.77,TCP,54,80 → 35015 0x0014
s1-eth2,119,2024-09-04 05:59:27.060,192.168.1.77,192.168.1.10,TCP,54,35016 → 80 0x0002
s1-eth1,113,2024-09-04 05:59:27.070,192.168.1.77,192.168.1.10,TCP,54,35675 → 80 0x0002
s1-eth1,114,2024-09-04 05:59:27.070,192.168.1.10,192.168.1.77,TCP,54,80 → 35675 0x0014
s1-eth1,115,2024-09-04 05:59:27.070,192.168.1.77,192.168.1.10,TCP,54,35676 → 80 0x0002
s1-eth1,116,2024-09-04 05:59:27.070,192.168.1.10,192.168.1.77,TCP,54,80 → 35676 0x0014
s1-eth3,126,2024-09-04 05:59:27.030,192.168.1.77,192.168.1.10,TCP,54,32497 → 80 0x0002
s1-eth3,127,2024-09-04 05:59:27.030,192.168.1.10,192.168.1.77,TCP,54,80 → 32497 0x0014
s1-eth2,120,2024-09-04 05:59:27.060,192.168.1.10,192.168.1.77,TCP,54,80 → 35016 0x0014
